Municipio;codarea;Area;PopulacaoEstimada;DensidadeDemografica;Escolarizacao;IndiceDesenvolvimentoHumano;MortalidadeInfantil;Receitas;Despesas;PIBPerCapita
Afonso Cláudio;3200102;941,188;30326;32,68;94;0,667;5,29;80576,7727;69965,87355;15115,94
Águia Branca;3200136;454,448;9621;20,95;97,8;0,678;-;39083,22718;29097,85302;18595,37
Água Doce do Norte;3200169;473,729;10801;24,85;98,7;0,652;5,26;34702,54102;36255,10902;12516,19
Alegre;3200201;756,86;29869;39,85;97,6;0,721;12,95;83442,06711;76070,96317;16201,29
Alfredo Chaves;3200300;615,677;14670;22,66;98,6;0,71;25,81;48604,90169;44738,57504;22464,53
Alto Rio Novo;3200359;227,617;7911;32,14;97,3;0,664;-;26258,90205;21926,6124;11172,03
Anchieta;3200409;409,691;30285;58,41;99,1;0,73;5,04;297133,39651;217215,62936;32801,07
Apiacá;3200508;193,984;7542;38,72;96,9;0,673;15,63;24049,97923;22633,13349;13264,07
Aracruz;3200607;1420,285;104942;57,47;98,4;0,752;7,28;425272,21903;371809,20977;53275,98
Atílio Vivácqua;3200706;232,868;12270;44,08;97,6;0,708;13,42;37510,54777;31766,08089;23595,12
Baixo Guandu;3200805;909,039;31263;31,71;97,2;0,702;5,04;83754,81807;72768,3765;23458,52
Barra de São Francisco;3200904;944,521;45301;43,16;96,2;0,683;15,6;113435,63353;97508,08958;19565,97
Boa Esperança;3201001;428,716;15146;33,14;97,5;0,679;21,62;48400,69793;43652,05383;14821,67
Bom Jesus do Norte;3201100;89,084;9988;106,37;98,8;0,734;-;28812,99073;24019,30038;15306,98
Brejetuba;3201159;354,404;12450;34,62;97,4;0,656;12,45;36352,74587;31792,34999;19755,05
Cachoeiro de Itapemirim;3201209;864,583;212172;216,23;97,2;0,746;14,73;454213,6412;363262,01857;23955,74
Cariacica;3201308;279,718;386495;1246,12;94,8;0,718;12,04;613728,20783;527566,91025;25849,32
Castelo;3201407;663,515;37956;52,32;97,8;0,726;9,2;86793,02382;80300,11553;25359,43
Colatina;3201506;1398,219;124283;78,9;98,6;0,746;8,25;333428,33287;316490,62409;28661,78
Conceição da Barra;3201605;1182,587;31479;24,01;98,3;0,681;7,39;92610,73127;86430,67529;15291,37
Conceição do Castelo;3201704;369,778;12887;31,64;98,1;0,67;16,67;39547,8283;36314,35529;17291,89
Divino de São Lourenço;3201803;174,039;4236;25,97;97,8;0,632;-;19789,67411;17091,96987;14135,35
Domingos Martins;3201902;1229,21;34120;25,93;96,5;0,669;3,96;114844,29868;95087,20845;21809,72
Dores do Rio Preto;3202009;159,298;6793;40,16;94,1;0,654;23,81;27296,97323;23096,78037;21173,21
Ecoporanga;3202108;2285,369;22748;10,16;98;0,662;20,91;64949,76398;51121,99439;13488,06
Fundão;3202207;286,854;22379;58,97;98,7;0,718;7,49;64563,15782;56556,05742;22597,47
Governador Lindenberg;3202256;360,016;13047;30,19;97,6;0,694;22,56;36288,1125;32188,51464;16570,49
Guaçuí;3202306;468,185;31372;59,47;96,9;0,703;19,14;81802,57039;75126,185;17266,14
Guarapari;3202405;589,825;128504;177,1;96,2;0,731;8,38;304897,04386;273349,30135;18759,57
Ibatiba;3202454;240,278;26762;92,98;97,3;0,647;15,11;57827,313;51341,40032;13471,54
Ibiraçu;3202504;201,248;12701;55,54;97,7;0,726;21,05;40159,82599;35787,47223;21114,9
Ibitirama;3202553;330,874;8830;27,15;96,4;0,622;7,3;30261,0385;29413,91869;13916,44
Iconha;3202603;203,528;14083;61,53;98,8;0,729;-;53460,46834;44995,66633;24144,49
Irupi;3202652;184,807;13672;63,52;96,3;0,637;-;37204,39835;33184,02207;16516,01
Itaguaçu;3202702;535,021;13982;26,59;98,7;0,702;14,29;42696,73154;37269,34796;18351,45
Itapemirim;3202801;550,71;34957;55,15;97,6;0,654;8,06;381848,46877;369600,71933;167621,34
Itarana;3202900;295,189;10433;36,42;97;0,684;-;34374,6133;30283,12414;20500,74
Iúna;3203007;460,586;29417;59,27;97,4;0,666;10,5;65186,671;59094,90751;14802,25
Jaguaré;3203056;659,751;31589;37,41;96,9;0,678;12,61;91331,87263;78825,19934;20307,12
Jerônimo Monteiro;3203106;177,342;12336;67,16;98,5;0,698;6,94;38388,94962;34069,03553;12602,63
João Neiva;3203130;284,735;16774;55,52;98,7;0,753;11,7;59209,0814;45848,60489;29701,16
Laranja da Terra;3203163;458,37;10919;23,62;97,5;0,656;16,95;31473,64704;27743,18176;12066,3
Linhares;3203205;3496,263;179755;40,33;97,7;0,724;10,72;614845,47077;470722,34955;35738,53
Mantenópolis;3203304;321,418;15653;42,35;99,2;0,657;-;40661,19578;35896,62883;10723,04
Marataízes;3203320;130,268;39259;256,55;98;0,696;10,45;170678,85837;188935,98382;66685,28
Marechal Floriano;3203346;285,495;17141;49,98;98,5;0,71;4,44;55386,66876;51736,8177;26330,81
Marilândia;3203353;327,642;13091;35,94;97,7;0,696;17,54;36748,19786;32324,30994;20678,32
Mimoso do Sul;3203403;869,439;26079;29,79;97,2;0,67;14,29;70206,98481;63382,902;17691,26
Montanha;3203502;1099,06;18954;16,24;98,8;0,667;18,59;57156,90692;49343,84086;18305,47
Mucurici;3203601;540,529;5468;10,47;98,9;0,666;13,89;27480,32255;23218,79664;12570,44
Muniz Freire;3203700;678,804;17176;27,08;96,7;0,645;7,58;55706,83661;51499,70748;17532,19
Muqui;3203809;327,268;15602;43,96;97,7;0,694;17,75;37243,06426;34299,33853;12174,39
Nova Venécia;3203908;1439,571;50751;31,92;98;0,712;9,67;130400,24461;115049,2845;20207,87
Pancas;3204005;837,842;23426;25,96;97,2;0,667;4,2;49070,14699;44593,75763;12013,11
Pedro Canário;3204054;433,453;26575;54,84;97,5;0,654;13,16;64430,19171;52630,87007;11672,75
Pinheiros;3204104;973,136;27601;24,55;97,4;0,673;8,04;69573,6681;59362,34208;18152,61
Piúma;3204203;74,046;22388;242,18;98,4;0,727;11,8;79702,88843;69659,64405;30016,32
Ponto Belo;3204252;360,11;8016;19,35;98,7;0,669;-;24753,88704;21459,59;10550,44
Presidente Kennedy;3204302;594,897;11741;17,66;97,1;0,657;13,57;359667,53976;335144,97573;583171,85
Rio Bananal;3204351;641,929;19398;27,3;95,4;0,681;6,8;82159,50653;59092,63948;20163,84
Rio Novo do Sul;3204401;204,464;11630;55,42;97,8;0,711;-;37471,72525;31142,64838;16926
Santa Leopoldina;3204500;718,325;12171;17,05;93,6;0,626;17,7;41684,93473;35615,80182;16663,7
Santa Maria de Jetibá;3204559;735,198;41588;46,46;95,9;0,671;10,19;126685,54977;98268,15685;34213,23
Santa Teresa;3204609;683,032;23853;31,94;98,2;0,714;13,42;72317,04775;62374,5215;20612,88
São Domingos do Norte;3204658;298,58;8735;26,79;93,7;0,682;17,86;33445,69662;27060,74041;29410,1
São Gabriel da Palha;3204708;434,887;39085;73,26;96,5;0,709;12,11;88086,24917;74501,4559;16148,84
São José do Calçado;3204807;273,489;10536;38,06;97,1;0,688;15,63;34844,72793;30261,33914;15150,14
São Mateus;3204906;2346,049;134629;46,62;97,3;0,735;10,48;270566,85318;253784,08666;18764,1
São Roque do Canaã;3204955;341,944;12602;32,96;99,3;0,7;27,52;31966,25143;27047,43849;16068,91
Serra;3205002;547,631;536765;741,85;96,9;0,739;11,35;1197645,84932;1108686,65758;45544,8
Sooretama;3205010;587,036;31278;40,66;95,1;0,662;20,27;71774,74363;56927,23892;17473,16
Vargem Alta;3205036;417,76;21778;46,25;98,3;0,663;7,19;65927,15224;51845,37074;16157,61
Venda Nova do Imigrante;3205069;185,909;26204;109,98;98,9;0,728;8,33;66372,19963;57779,8483;24715,68
Viana;3205101;312,279;80735;207,84;94,8;0,686;10,25;201219,76713;168215,81708;32060,09
Vila Pavão;3205150;433,257;9280;20,02;97,3;0,681;10,42;29213,85171;23286,54907;15302,63
Vila Valério;3205176;470,343;14065;29,42;96,9;0,675;4,37;48688,53307;39097,37221;19623,3
Vila Velha;3205200;210,225;508655;1973,59;96,8;0,8;11,07;943960,94788;799078,57685;24936,1
Vitória;3205309;97,123;369534;3338,3;97,6;0,845;6,69;1665698,98016;1508160,73573;73632,55
